vehicleid,vehiclebrand,vehiclemodel
15274,TOYOTA,ALTIS
15278,BMW,320D
15279,MG,ZS
15282,SUZUKI,CIAZ
15302,TOYOTA,YARIS
15309,MAZDA,2_Sedan
15311,HYUNDAI,H-1
15312,TOYOTA,PRIUS_HYBRID
15316,HONDA,CITY_Sedan
15317,SUZUKI,XL7
15318,MG,5
15319,ISUZU,D-Max_2_DOOR
15340,TOYOTA,ATIV
15341,TOYOTA,ATIV
15343,MG,4
15344,BMW,X1
15351,TOYOTA,VELOZ
15353,TOYOTA,VENTURY
15355,BYD,ATTO_3
15362,MITSUBISHI,XPANDER
15363,MITSUBISHI,XPANDER
15364,MITSUBISHI,XPANDER
15366,TOYOTA,ATIV
15379,TOYOTA,ALTIS
15382,HONDA,MOBILIO
15385,MAZDA,2_Sedan
15388,TOYOTA,COMMUTER
15390,HONDA,CITY_Sedan
15399,TOYOTA,CAMRY_HYBRID
15402,BMW,X1
15404,TOYOTA,ATIV
15405,TOYOTA,COMMUTER
15408,TOYOTA,ATIV
15414,MITSUBISHI,ATTRAGE
15415,TOYOTA,YARIS
15419,TOYOTA,HIACE
15420,TOYOTA,HIACE
15430,TOYOTA,COMMUTER
15431,TOYOTA,ATIV
15440,TOYOTA,YARIS
15442,TOYOTA,YARIS
15449,TOYOTA,COMMUTER
15456,MERCEDES_BENZ,GLC300e_PHEV
15457,BMW,X1
15460,MERCEDES_BENZ,A200
15462,TOYOTA,ALTIS
15465,TOYOTA,ATIV
15468,NISSAN,URVAN
15469,TOYOTA,FORTUNER
15475,TOYOTA,COMMUTER
15476,TOYOTA,ATIV
15477,BYD,DOLPHIN
15480,MG,5
15483,MG,EP
15485,TOYOTA,COMMUTER
15495,TOYOTA,ATIV
15496,SUZUKI,CIAZ
15502,MAZDA,2_Sedan
15512,MAZDA,2_Sedan
15514,TOYOTA,ATIV
15515,MAZDA,CX-5
15516,TOYOTA,COMMUTER
15517,ISUZU,D-Max-CAB_4_DOOR
15518,TOYOTA,COMMUTER
