userid,sex,nationality,age,usertype
311482,Male,Thai,28,UNSPECIFIED
144941,Male,Thai,35,GENERAL
307693,Male,Thai,28,UNSPECIFIED
185027,Male,Thai,27,GENERAL
309494,Female,Thai,40,UNSPECIFIED
175691,Female,Thai,33,STUDENT
233889,Male,Thai,38,GENERAL
17941,Male,Thai,40,GENERAL
270567,Male,Thai,24,STUDENT
210665,Male,Thai,34,GENERAL
126895,Male,Thai,24,STUDENT
305125,Male,Malaysian,35,UNSPECIFIED
275406,Male,Malaysian,44,GENERAL
60771,Female,Thai,51,GENERAL
286542,Male,Thai,33,GENERAL
142247,Male,Thai,37,GENERAL
64137,Male,Thai,32,GENERAL
290514,Male,Australian,44,GENERAL
82925,Male,Thai,32,GENERAL
261453,Male,Thai,32,GENERAL
45942,Male,Thai,35,GENERAL
49268,Male,Thai,48,GENERAL
24842,Male,Thai,32,GENERAL
285836,Male,Thai,31,GENERAL
294293,Female,Thai,27,UNSPECIFIED
276374,Male,Thai,49,GENERAL
8125,Male,Thai,28,STUDENT
9870,Female,Thai,29,STUDENT
207025,Male,Thai,24,STUDENT
313741,Female,Thai,28,UNSPECIFIED
7597,Female,Thai,27,GENERAL
300127,Male,Thai,34,UNSPECIFIED
312985,Male,Thai,30,UNSPECIFIED
307670,Male,Thai,27,UNSPECIFIED
177805,Male,Thai,32,GENERAL
314002,Male,Thai,27,UNSPECIFIED
253589,Male,ไม่ระบุ,37,GENERAL
287108,Female,Thai,38,UNSPECIFIED
110353,Male,Thai,42,GENERAL
25475,Male,Thai,37,GENERAL
313838,Female,Malaysian,34,UNSPECIFIED
244197,Male,Thai,24,STUDENT
314115,Male,Thai,36,UNSPECIFIED
283244,Male,Thai,23,STUDENT
280124,Male,New Zealand,56,GENERAL
284983,Female,Thai,29,GENERAL
301744,Male,Thai,29,UNSPECIFIED
126547,Female,Thai,37,GENERAL
314400,Male,Thai,22,UNSPECIFIED
278140,Male,Thai,26,GENERAL
277944,Male,Thai,48,UNSPECIFIED
300343,Female,Thai,24,UNSPECIFIED
60882,Male,Thai,22,STUDENT
26971,Male,Korea,32,GENERAL
191525,Male,Thai,61,GENERAL
314912,Male,Thai,28,UNSPECIFIED
288649,Female,Thai,29,GENERAL
280155,Male,Thai,31,GENERAL
315151,Female,Thai,43,UNSPECIFIED
7908,Male,Thai,32,GENERAL
315079,Male,Thai,41,UNSPECIFIED
258727,Female,Thai,28,GENERAL
213613,Male,Thai,21,GENERAL
274158,Male,Thai,46,GENERAL
300424,Male,Burmese,29,UNSPECIFIED
301494,Female,Thai,39,UNSPECIFIED
85419,Female,Thai,26,GENERAL
315205,Male,Thai,29,UNSPECIFIED
315343,Male,Thai,31,UNSPECIFIED
27071,Male,Korea,49,GENERAL
11200,Female,Thai,41,GENERAL
312164,Male,Thai,29,UNSPECIFIED
300140,Female,Thai,24,UNSPECIFIED
180527,Male,Thai,41,GENERAL
248269,Male,Thai,45,GENERAL
276001,Female,Thai,21,GENERAL
314670,Male,China,37,UNSPECIFIED
215713,Male,Thai,46,GENERAL
310830,Male,Thai,32,UNSPECIFIED
161251,Male,Thai,27,STUDENT
299068,Female,Thai,43,UNSPECIFIED
314969,Male,Japanese,28,UNSPECIFIED
270844,Male,Thai,52,GENERAL
82989,Male,Thai,41,GENERAL
312860,Male,Thai,40,UNSPECIFIED
277368,Female,Thai,39,GENERAL
28175,Male,Thai,32,GENERAL
317392,Male,Thai,26,GENERAL
97469,Male,Thai,47,GENERAL
306125,Male,Thai,26,UNSPECIFIED
8160,Female,Thai,34,GENERAL
277094,Male,Thai,31,GENERAL
235247,Male,Thai,29,GENERAL
307657,Male,Thai,29,UNSPECIFIED
312941,Male,Thai,50,UNSPECIFIED
229545,Female,Thai,27,GENERAL
319194,Male,Thai,40,GENERAL
316705,Male,USA,43,UNSPECIFIED
137989,Female,Thai,31,GENERAL
279362,Female,Thai,47,GENERAL
270930,Male,Thai,25,GENERAL
316048,Male,Thai,22,UNSPECIFIED
319315,Male,Thai,24,GENERAL
274206,Male,Thai,51,GENERAL
167677,Male,Thai,32,GENERAL
319949,Male,Thai,27,GENERAL
320166,Female,Thai,29,GENERAL
20076,Male,Thai,30,GENERAL
308208,Male,Thai,33,UNSPECIFIED
319894,Male,Thai,60,GENERAL
234999,Female,Thai,31,GENERAL
320386,Female,Thai,33,GENERAL
276027,Female,Thai,23,STUDENT
317384,Male,Thai,31,GENERAL
309092,Female,Thai,41,UNSPECIFIED
320860,Female,Thai,32,GENERAL
138789,Male,Latvijas,39,GENERAL
142641,Male,Thai,21,STUDENT
