age,sex,nationality,usertype,stationtype,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype,timeofday,dayofweek,holiday,reservation_count,view_count
25-45,Male,Thai,GENERAL,OTHER STATION,KIA,GRAND_CARNIVAL,Non-EV,XL,MPV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MAZDA,2_Hatchback,Non-EV,S,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,C250,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,VINFAST,LUX A2.0,Non-EV,L,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,KIA,Rio,Non-EV,S,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,YARIS,Non-EV,XS,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,COMMUTER-VIP,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HYUNDAI,H-1-VIP,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BMW,X7,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,HIACE,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,HYUNDAI,STARIA,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,CROSS,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,SUZUKI,XL7,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,ISUZU,D-Max_2_DOOR,Non-EV,M,PICK_UP_2_DOOR,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,BMW,X1,Non-EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,VENTURY,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,GLC300e_PHEV,Non-EV,L,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MERCEDES_BENZ,A200,Non-EV,M,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,NISSAN,URVAN,Non-EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0
25-45,Male,Thai,GENERAL,OTHER STATION,MAZDA,CX-5,Non-EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0
