,age,sex,nationality,usertype,stationtype,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype,timeofday,dayofweek,holiday,reservation_count,view_count,predicted_score
53,25-45,Male,Thai,GENERAL,OTHER STATION,MG,4,EV,M,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013380041
5,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,VIOS,Non-EV,S,SEDAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013348181
124,25-45,Male,Thai,GENERAL,OTHER STATION,MG,MAXUS_9,EV,XL,VAN,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013347361
142,25-45,Male,Thai,GENERAL,OTHER STATION,MINI,COOPER,Non-EV,L,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013341708
86,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,CROSS,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013339398
70,25-45,Male,Thai,GENERAL,OTHER STATION,MINI,COOPER_S,Non-EV,L,HATCHBACK,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013331426
118,25-45,Male,Thai,GENERAL,OTHER STATION,HAVAL,JOLION_HYBRID,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.001332921
19,25-45,Male,Thai,GENERAL,OTHER STATION,TOYOTA,CROSS_HYBRID,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013329145
109,25-45,Male,Thai,GENERAL,OTHER STATION,MG,GS,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013310229
31,25-45,Male,Thai,GENERAL,OTHER STATION,LEXUS,UX_300e,EV,XL,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013241982
30,25-45,Male,Thai,GENERAL,OTHER STATION,MG,HS,Non-EV,M,SUV,WORK HOURS,WEEKEND,No,0.0,0.0,0.0013228003
