,userid,age,sex,nationality,usertype,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype,stationtype,timeofday,dayofweek,holiday,reservation_count,view_count
73,430,25-45,Male,Thai,GENERAL,MAZDA,3_Sedan,Non-EV,M,SEDAN,OTHER STATION,WORK HOURS,WEEKDAY,No,1.0,0.0
74,430,25-45,Male,Thai,GENERAL,MAZDA,CX-30,Non-EV,M,SUV,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,3.0
75,430,25-45,Male,Thai,GENERAL,MAZDA,CX-30,Non-EV,M,SUV,OTHER STATION,WORK HOURS,WEEKEND,No,0.0,1.0
76,430,25-45,Male,Thai,GENERAL,MG,4,EV,M,HATCHBACK,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
77,430,25-45,Male,Thai,GENERAL,MG,EP,EV,XL,MPV,OTHER STATION,LEISURE HOURS,WEEKDAY,No,1.0,1.0
78,430,25-45,Male,Thai,GENERAL,MG,EP,EV,XL,MPV,OTHER STATION,LEISURE HOURS,WEEKEND,No,0.0,1.0
79,430,25-45,Male,Thai,GENERAL,MG,EP,EV,XL,MPV,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,4.0
80,430,25-45,Male,Thai,GENERAL,MG,EP,EV,XL,MPV,OTHER STATION,WORK HOURS,WEEKEND,No,0.0,2.0
81,430,25-45,Male,Thai,GENERAL,MG,EP,EV,XL,MPV,OTHER STATION,WORK HOURS,WEEKEND,Yes,0.0,1.0
82,430,25-45,Male,Thai,GENERAL,MG,ZS_EV,EV,M,SUV,OTHER STATION,LATE NIGHT,WEEKDAY,No,5.0,2.0
83,430,25-45,Male,Thai,GENERAL,MG,ZS_EV,EV,M,SUV,OTHER STATION,LATE NIGHT,WEEKEND,No,2.0,0.0
84,430,25-45,Male,Thai,GENERAL,MG,ZS_EV,EV,M,SUV,OTHER STATION,LEISURE HOURS,WEEKDAY,No,1.0,2.0
85,430,25-45,Male,Thai,GENERAL,MG,ZS_EV,EV,M,SUV,OTHER STATION,LEISURE HOURS,WEEKDAY,Yes,1.0,0.0
86,430,25-45,Male,Thai,GENERAL,MG,ZS_EV,EV,M,SUV,OTHER STATION,LEISURE HOURS,WEEKEND,No,0.0,2.0
87,430,25-45,Male,Thai,GENERAL,MG,ZS_EV,EV,M,SUV,OTHER STATION,LEISURE HOURS,WEEKEND,Yes,1.0,0.0
88,430,25-45,Male,Thai,GENERAL,MG,ZS_EV,EV,M,SUV,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,7.0
89,430,25-45,Male,Thai,GENERAL,MG,ZS_EV,EV,M,SUV,OTHER STATION,WORK HOURS,WEEKDAY,Yes,0.0,3.0
90,430,25-45,Male,Thai,GENERAL,MG,ZS_EV,EV,M,SUV,OTHER STATION,WORK HOURS,WEEKEND,No,1.0,1.0
91,430,25-45,Male,Thai,GENERAL,MITSUBISHI,PAJERO_SPORT,Non-EV,XL,SUV,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
92,430,25-45,Male,Thai,GENERAL,NISSAN,JUKE,Non-EV,M,SUV,OTHER STATION,LATE NIGHT,WEEKDAY,No,2.0,0.0
93,430,25-45,Male,Thai,GENERAL,NISSAN,JUKE,Non-EV,M,SUV,OTHER STATION,WORK HOURS,WEEKDAY,Yes,1.0,0.0
94,430,25-45,Male,Thai,GENERAL,NISSAN,JUKE,Non-EV,M,SUV,OTHER STATION,WORK HOURS,WEEKEND,No,2.0,0.0
95,430,25-45,Male,Thai,GENERAL,NISSAN,KICKS_e-POWER_HYBRID,Non-EV,M,SUV,OTHER STATION,WORK HOURS,WEEKDAY,No,0.0,1.0
96,430,25-45,Male,Thai,GENERAL,NISSAN,LEAF,EV,L,HATCHBACK,OTHER STATION,LATE NIGHT,WEEKDAY,No,2.0,1.0
