,vehiclebrand,vehiclemodel,enginetype,vehiclesize,vehicletype
137,SUZUKI,CELERIO,Non-EV,XS,HATCHBACK
138,BMW,320LI,Non-EV,L,SEDAN
139,BMW,218I,Non-EV,M,COUPE
140,MINI,COOPER,Non-EV,L,HATCHBACK
141,DEEPAL,L07,EV,L,SEDAN
142,NISSAN,X-TRAIL,Non-EV,XL,SUV
143,TESLA,MODEL_Y,EV,L,SUV
144,HONDA,CITY_HYBRID_Hatchback,Non-EV,S,HATCHBACK
145,MG,EXTENDER_4_DOOR,Non-EV,L,PICK_UP_4_DOOR
146,HONDA,JAZZ,Non-EV,S,HATCHBACK
147,MAZDA,3_Sedan,Non-EV,M,SEDAN
148,PORSCHE,TAYCAN,EV,M,SEDAN
149,MERCEDES_BENZ,SLK200,Non-EV,L,CONVERTIBLE
150,BYD,M6,EV,L,SUV
151,SUZUKI,ERTIGA,Non-EV,S,MPV
152,HONDA,CIVIC_Sedan,Non-EV,M,SEDAN
153,MG,ES,EV,M,SUV
154,NISSAN,SERENA,Non-EV,M,MPV
155,TOYOTA,C-HR,Non-EV,M,SUV
